calls		time		avg		function
8277		2452.2		0.296		Creep.moveTo
9821		1279.8		0.130		Creep.move
30738		1024.4		0.033		Room.find
6149		949.5		0.154		Creep.moveByPath
4871		818.8		0.168		Creep.harvest
3672		738.8		0.201		RoomPosition.findPathTo
3672		697.8		0.190		Room.findPath
3118		479.2		0.154		RoomPosition.findClosestByPath
2666		459.6		0.172		Creep.upgradeController
2861		226.7		0.079		Creep.repair
1409		204.7		0.145		Creep.build
4371		188.9		0.043		RoomPosition.findClosestByRange
1619		139.4		0.086		Creep.transfer
5823		128.4		0.022		Creep.withdraw
34095		69.0		0.002		RoomPosition.isNearTo
26166		45.8		0.002		RoomPosition.isEqualTo
6545		15.9		0.002		Room.getPositionAt
6852		14.3		0.002		RoomPosition.getRangeTo
6945		14.3		0.002		RoomPosition.inRangeTo
721		10.5		0.015		Spawn.spawnCreep
78		3.4		0.044		Creep.pickup
75		1.3		0.018		RoomPosition.lookFor
150		0.9		0.006		Creep.say
75		0.8		0.011		Room.lookForAt
3		0.2		0.059		RoomPosition.findInRange
Avg: 8.13	Total: 8116.37	Ticks: 998
